location,total_value
Japan,1600604990888.342
Indonesia,1105528623197.681
Russian Federation,876383075593.0951
USA,721030817807.7814
China,715657169957.977
Peru,690338851894.8904
Thailand,459530112234.15576
Korea (South),447346867089.5497
Philippines,386015673845.4675
Chile,319141289657.71594
