species,total_tonnes
,6253148740.155445
Skipjack tuna,10373186.605723416
Yellowfin tuna,3993197.07528444
Bigeye tuna,1233106.3616858516
Marine fishes nei,704291.7925021892
Albacore,535584.9654965182
"Emperors, scavengers",439578.92723468714
Blue shark,358922.4711929461
Pelagic fishes,220535.6850228629
Clams,200469.1476078221
